SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
ALOKINDS,alokindustries,AI54,Mar 2020 - Jun 2020,,35.4,36.0,19.55,-0.44774011299435024
BOMDYEING,bombaydyeingmanufacturingcompany,BDM,Mar 2020 - Jun 2020,20-07-2020,71.65,75.0,59.0,-0.176552686671319
BRFL,bombayrayonfashions,BRF,Sep 2021 - Dec 2021,12-02-2021,10.8,10.8,6.6,-0.38888888888888895
BRFL,bombayrayonfashions,BRF,Mar 2021 - Jun 2021,,7.85,7.85,6.55,-0.16560509554140126
CCHHL,countryclubhospitalityholidays,CCI06,Mar 2021 - Jun 2021,12-08-2021,6.95,7.7,6.15,-0.11510791366906473
DPSCLTD,dpsc,DPS,Mar 2022 - Jun 2022,09-08-2022,12.6,16.4,12.4,0.3015873015873015
DQE,dqentertainmentinternational,DEI01,Jun 2019 - Sep 2019,,2.35,2.8,0.75,-0.6808510638297872
GANESHHOUC,ganeshhousingcorporation,GHC02,Dec 2019 - Mar 2020,30-06-2020,30.1,31.9,23.15,-0.2308970099667775
GANESHHOUC,ganeshhousingcorporation,GHC02,Sep 2019 - Dec 2019,14-02-2019,54.2,70.55,50.75,0.3016605166051659
GLOBOFFS,globaloffshoreservices,GOS,Dec 2018 - Mar 2019,30-05-2019,10.55,10.55,5.8,-0.4502369668246446
GTL,gtl,GTL01,Jun 2018 - Sep 2018,30-10-2018,7.0,8.15,5.55,-0.20714285714285716
HCL-INSYS,hclinfosystems,HCL,Dec 2019 - Mar 2020,15-06-2020,7.8,11.8,7.1,0.512820512820513
HMT,hmt,HMT,Mar 2022 - Jun 2022,10-08-2022,23.75,33.5,23.3,0.4105263157894737
INDIANCARD,indiancardclothing,ICC01,Mar 2020 - Jun 2020,14-09-2020,99.65,105.7,92.1,-0.07576517812343213
JMTAUTOLTD,jmtauto,JMT02,Sep 2019 - Dec 2019,25-02-2019,2.9,2.95,1.9,-0.3448275862068966
KAUSHALYA,kaushalyainfrastructuredevelopmentcorporation,KID,Mar 2022 - Jun 2022,13-08-2022,3.65,4.95,3.65,0.3561643835616439
LIBAS,libasconsumerproducts,LD03,Mar 2020 - Jun 2020,05-08-2020,44.95,44.95,29.25,-0.34927697441601785
LYPSAGEMS,lypsagemsjewellery,LGJ,Mar 2020 - Jun 2020,31-07-2020,3.0,3.75,2.45,0.25
MADHUCON,madhuconprojects,MP16,Mar 2019 - Jun 2019,13-08-2019,5.05,5.15,3.4,-0.32673267326732675
MBECL,mcnallybharatengineering,MBE,Dec 2019 - Mar 2020,,6.2,7.75,4.65,-0.24999999999999997
MMTC,mmtc,MMT,Jun 2021 - Sep 2021,27-10-2021,44.3,50.4,37.1,-0.16252821670428885
MTNL,mahanagartelephonenigam,MTN,Mar 2020 - Jun 2020,22-07-2020,9.9,9.9,7.95,-0.196969696969697
NITESHEST,nelholdingssouth,NE07,Mar 2019 - Jun 2019,09-08-2019,1.75,1.8,1.5,-0.14285714285714285
NKIND,nkindustries,NKI,Jun 2019 - Sep 2019,,24.65,26.8,14.65,-0.4056795131845841
OMAXE,omaxe,O02,Mar 2021 - Jun 2021,13-08-2021,78.55,83.95,71.65,-0.08784213876511765
PDPL,parenteraldrugsindia,PDI01,Jun 2019 - Sep 2019,13-11-2019,2.45,3.75,2.35,0.5306122448979591
RCOM,reliancecommunications,RC13,Jun 2019 - Sep 2019,15-11-2019,0.6,1.2,0.55,1.0
RNAVAL,reliancenavalengineering,PS04,Sep 2018 - Dec 2018,,8.35,12.3,7.65,0.473053892215569
ROLLT,rollatainers,R05,Mar 2021 - Jun 2021,15-07-2021,3.2,3.35,2.2,-0.3125
RSSOFTWARE,rssoftwareindia,RSS,Dec 2021 - Mar 2022,22-04-2022,34.2,34.55,22.6,-0.33918128654970764
SINTEX,sintexindustries,SI27,Mar 2020 - Jun 2020,10-09-2020,2.1,4.1,1.85,0.9523809523809521
SMARTLINK,smartlinkholdings,SNS01,Sep 2019 - Dec 2019,01-02-2019,82.5,96.75,77.65,0.17272727272727273
SOMATEX,somatextilesindustries,STI03,Mar 2020 - Jun 2020,25-08-2020,3.15,3.55,2.65,-0.15873015873015872
SPENTEX,spentexindustries,SI35,Sep 2018 - Dec 2018,12-02-2018,5.9,6.15,3.3,-0.44067796610169496
STAMPEDE,stampedecapital,BS11,Sep 2019 - Dec 2019,,0.4,0.45,0.3,-0.25000000000000006
SIL,standardindustries,SI36,Sep 2018 - Dec 2018,12-02-2018,22.25,23.25,19.75,-0.11235955056179775
TECHNOFAB,technofabengineering,TE13,Mar 2019 - Jun 2019,23-08-2019,14.15,41.75,10.0,1.9505300353356891
UTTAMSTL,uttamgalvasteel,UGS01,Dec 2019 - Mar 2020,,9.1,9.1,5.4,-0.40659340659340654
VIPULLTD,vipul,V04,Mar 2022 - Jun 2022,11-08-2022,14.7,14.7,11.15,-0.24149659863945572
VISESHINFO,viseshinfotechnics,VI15,Jun 2018 - Sep 2018,14-11-2018,0.15,0.15,0.05,-0.6666666666666666
63MOONS,63moonstechnologies,FT02,Dec 2019 - Mar 2020,,75.65,85.1,66.55,0.12491738268341028
TRF,trf,TRF,Sep 2020 - Dec 2020,14-02-2020,115.55,115.55,46.0,-0.6019039376893119
